"date_item_amount","amount","date","desc","item","month","placeOfPurchase","user","year"
"19-07-2023_hotel food_400","400","19-07-2023","Fried rice and manchurian","hotel food","07","santosh dhaba","Home Requirement","2023"
"08-12-2025_snacks_230","230","08-12-2025","""Mirchi, samosa chat""","snacks","12","gokulchat","Home Requirement","2025"
"11-06-2022_misc_11000","11000","11-06-2022","Room rent in Vijayawada trip","misc","06","mkr regency","Home Requirement","2022"
"22-11-2021_medicines_1800","1800","22-11-2021","Scanning","medicines","11","salus diagnostic center","Madhavi","2021"
"15-10-2025_taxi_175","175","15-10-2025","Auto to office","taxi","10","uber","Abhi","2025"
"22-03-2023_pooja items_60","60","22-03-2023","Coconut x2","pooja items","03","vv needs","Home Requirement","2023"
"21-10-2021_Rajamundry toor expensive _1200","1200","21-10-2021","","rajamundry toor expensive","10","","Home Requirement","2021"
"29-04-2021_Parota_55","55","29-04-2021","","parota","04","akshaya","Home Requirement","2021"
"16-12-2021_snacks_120","120","16-12-2021","Juice and manchurian and samosa","snacks","12","canteen","Abhi","2021"
"23-11-2025_stationery_20","20","22-11-2025","Tirumala seva documents printouts","stationery","11","rv xerox","Home Requirement","2025"
"25-02-2026_friends_120","120","25-02-2026","Fruit salad x3","friends","02","s&p canteen","Bharat","2026"
"31-12-2024_snacks_185","185","31-12-2024","Sandwitch","snacks","12","subway","Bharat","2024"
"16-01-2023_taxi_72","72","16-01-2023","To lakdikapool metro station","taxi","01","uber","Bharat","2023"
"03-10-2021_Laddu_700","700","03-10-2021","","laddu","10","tirumala","Home Requirement","2021"
"01-01-2020_Chintapandu_120","120","01-01-2020","","chintapandu","01","dhanalaxmi","Home Requirement","2020"
"25-04-2023_misc_120","120","25-04-2023","Home keys duplicates","misc","04","badichowdi","Home Requirement","2023"
"18-06-2022_friends_210","210","18-06-2022","Dinner","friends","06","boggula kunta","Bharat","2022"
"31-08-2024_hotel food_200","200","31-08-2024","""Tiffin ""","hotel food","08","puri","Home Requirement","2024"
"03-10-2023_taxi_80","80","03-10-2023","""Assembly to and fro durgamcheruvu ""","taxi","10","metro","Bharat","2023"
"24-08-2024_friends_50","50","24-08-2024","Watermelon","friends","08","near mint compound","Home Requirement","2024"
"09-09-2021_Corn_30","30","09-09-2021","","corn","09","","Home Requirement","2021"
"22-02-2026_temple_100","100","22-02-2026","Archana x2","temple","02","ponnuru temple","Home Requirement","2026"
"21-06-2022_fuel_200","200","21-06-2022","Bike petrol","fuel","06","narayanguda","Home Requirement","2022"
"14-01-2024_misc_10","10","14-01-2024","Tamalapaakulu","misc","01","chikkadpally","Home Requirement","2024"
"27-11-2021_medicines_400","400","27-11-2021","Doctor consultation","medicines","11","nice hospital","Madhavi","2021"
"11-11-2024_misc_220","220","11-11-2024","Xerox","misc","11","rv xerox","Home Requirement","2024"
"10-10-2021_Auto_60","60","10-10-2021","","auto","10","ola","Home Requirement","2021"
"25-10-2025_pooja items_45","45","25-10-2025","Coconut","pooja items","10","vv needs","Home Requirement","2025"
"20-07-2021_Auto _36","36","20-07-2021","","auto","07","to ttd","Home Requirement","2021"
"22-10-2024_hotel food_209","209","22-10-2024","Dinner","hotel food","10","subway","Bharat","2024"
"23-07-2025_groceries_165","165","23-07-2025","Vijaya Groundnut oil","groceries","07","vv needs","Home Requirement","2025"
"30-09-2021_Bloodtest_300","300","30-09-2021","","bloodtest","09","""chikkadpally ""","Home Requirement","2021"
"15-08-2024_fruits and juices_300","300","15-08-2024","""Apples, oranges, pomegranates""","fruits and juices","08","ratnadeep","Home Requirement","2024"
"20-12-2022_friends_650","650","20-12-2022","""Chaap, roti, malai sweet x2""","friends","12","narsingh","Bharat","2022"
"07-05-2024_groceries_2890","2890","07-05-2024","""Dry fruits ""","groceries","05","begambajar","Home Requirement","2024"
"16-02-2024_pooja items_50","50","16-02-2024","Coconut and flowers","pooja items","02","ttd","Home Requirement","2024"
"21-04-2022_fruits and juices_50","50","21-04-2022","Chennai - badam milk","fruits and juices","04","kovai pazhamudir nilayam","Bharat","2022"
"23-08-2024_misc_1500","1500","23-08-2024","""Room rent ""","misc","08","vijayawada","Home Requirement","2024"
"10-06-2021_Sarukulu_20","20","10-06-2021","","sarukulu","06","""vv needs ""","Home Requirement","2021"
"05-07-2022_hotel food_212","212","05-07-2022","Paneer majestic","hotel food","07","balaji dhaba","Home Requirement","2022"
"24-04-2025_friends_60","60","24-04-2025","Sugarcane juice x2","friends","04","ameerpet","Bharat","2025"
"15-03-2024_hotel food_80","80","15-03-2024","Idly","hotel food","03","khammam highway","Home Requirement","2024"
"28-01-2023_fuel_2000","2000","28-01-2023","Car petrol","fuel","01","gachibowli","Home Requirement","2023"
"23-10-2022_snacks_80","80","23-10-2022","Bhel puri","snacks","10","mayur","Home Requirement","2022"
"09-09-2023_maintenance_933","933","09-09-2023","Current bill","maintenance","09","paytm","Home Requirement","2023"
"10-04-2023_misc_208","208","10-04-2023","Iron man","misc","04","jkm avenue","Home Requirement","2023"
"29-04-2023_hotel food_310","310","29-04-2023","Paratha and mango malai","hotel food","04","narsingh","Home Requirement","2023"
"05-06-2025_fruits and juices_534","534","05-06-2025","""Mangoes n cabbage ""","fruits and juices","06","ratnadeep","Home Requirement","2025"
"24-07-2022_vegetables_175","175","24-07-2022","""Potato, tomato, etc""","vegetables","07","ratnadeep","Home Requirement","2022"
"20-12-2025_groceries_1330","1330","20-12-2025","Groceries","groceries","12","dhanalaxmi stores","Home Requirement","2025"